Reference,Qty,Value,Footprint,link,Datasheet
"C2,C3,C4",3,100n,C_0201_0603Metric,https://www.digikey.in/en/products/detail/murata-electronics/GRM033C71C104KE14D/5027472,~
C5,1,10u,C_0402_1005Metric,https://www.digikey.in/en/products/detail/samsung-electro-mechanics/CL05A106MP5NUNC/3887108,~
"C6,C10",2,0.1u,C_0201_0603Metric,https://www.digikey.in/en/products/detail/murata-electronics/GRM033C71C104KE14D/5027472,~
C7,1,1u,C_0402_1005Metric,https://www.digikey.in/en/products/detail/samsung-electro-mechanics/CL05A105KO5NNNC/3886725,~
"C8,C9",2,22u,C_0402_1005Metric,https://www.digikey.in/en/products/detail/murata-electronics/GRM158R61A226ME15D/16033379,~
"D1,D2",2,EAST10052WA0,LEDC1005X25N,https://www.digikey.in/en/products/detail/everlight-electronics-co-ltd/EAST10052WA0/5142326?s=N4IgTCBcDaIKIEEDKAVAjABgwVjAdQQxAF0BfIA,
J1,1,FTSH-107-01-L-DV-K,SAMTEC_FTSH-107-01-L-DV-K,https://www.digikey.in/en/products/detail/samtec-inc/FTSH-107-01-L-DV-K/6678186,
J2,1,Conn_01x03_Pin,PinHeader_1x03_P1.27mm_Vertical,https://www.digikey.in/en/products/detail/sullins-connector-solutions/GRPB031VWVN-RC/1786439,~
J3,1,Extra,PinHeader_2x07_P1.27mm_Vertical_SMD,https://www.digikey.in/en/products/detail/sullins-connector-solutions/GRPB072VWQS-RC/1786416,~
J4,1,BATT,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,https://robu.in/product/bm02b-srss-tblfsn-jst-1x2p-sh-2p-tin-2-25%E2%84%8385%E2%84%83-1a-1-1mm-copper-alloy-standing-paste-smdp1mm-wire-to-board-connector-rohs/,~
J5,1,MEM2085-00-115-00-A_REV0.2,GCT_MEM2085-00-115-00-A_REV0.2,https://www.digikey.in/en/products/detail/gct/MEM2085-00-115-00-A/17394810?s=N4IgTCBcDaILIFE5gAwA4CsBaFKsEZ8MQBdAXyA,
J6,1,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical,https://www.digikey.in/en/products/detail/sullins-connector-solutions/GRPB021VWVN-RC/1786438,~
J7,1,UART,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,https://www.digikey.in/en/products/detail/jst-sales-america-inc/BM04B-SRSS-TB/926696,~
J8,1,Buzzer,PinHeader_1x02_P1.27mm_Vertical,https://www.digikey.in/en/products/detail/sullins-connector-solutions/GRPB021VWVN-RC/1786438,//www.digikey.in/en/products/detail/sullins-connector-solutions/GRPB021VWVN-RC/1786438
L1,1,1u,L_0805_2012Metric,https://www.digikey.in/en/products/detail/taiyo-yuden/LBR2012T1R0M/1788934,~
MCU1,1,~,MAMWLE-02,https://www.digikey.in/en/products/detail/move-x/MAMWLE-02/16705198,
"Q1,Q2",2,NMOS,SOT-23,https://www.digikey.in/en/products/detail/vishay-siliconix/SI2302CDS-T1-E3/2345137,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs
"R8,R9",2,10k,R_0201_0603Metric,https://www.digikey.in/en/products/detail/yageo/AC0201FR-0710KL/5894228,~
R10,1,10m,R_0402_1005Metric,https://www.digikey.in/en/products/detail/panasonic-electronic-components/ERJ-2LWFR010X/6004264,~
R11,1,6.8k,R_01005_0402Metric,https://www.digikey.in/en/products/detail/yageo/RC0100JR-076K8L/5916443,~
R12,1,3.3k,R_01005_0402Metric,https://www.digikey.in/en/products/detail/delta-electronics-cyntec/PFR02S-332-FNH/9761628,~
"R13,R14,R15,R16,R17,R18",6,4.7k,R_0201_0603Metric,https://www.digikey.in/en/products/detail/panasonic-electronic-components/ERJ-1GNF4701C/2036188,~
SW2,1,SW_SPDT,switch,https://www.digikey.in/en/models/8733105?tab=ultralibrarian,~
SW3,1,PTS526 SM15 SMTR2 LFS,SON4_PTS526 SM15 SMTR2 LFS_CNK,https://www.digikey.in/en/products/detail/c-k/GSPTS004901/10056625,PTS526 SM15 SMTR2 LFS
U1,1,MP28160GC-Z,WLCSP-MNP,https://www.digikey.in/en/products/detail/monolithic-power-systems-inc/MP28160GC-Z/11620399?s=N4IgTCBcDaILIAUwA4CMA2ADAcQMIFoAtEAXQF8g,https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP28160GC-Z
U2,1,INA213AIRSWR,INA213,https://www.digikey.in/en/products/detail/texas-instruments/INA213AIRSWR/2231775?s=N4IgTCBcDaIJIDkCCYCMBmJcBKBlA6tiALoC%2BQA,https://www.ti.com/lit/gpn/ina213
U3,1,ADXL314WBCPZ-RL,LFCSP32_CP-32-17_ADI,https://www.digikey.in/en/products/detail/analog-devices-inc/ADXL314WBCPZ-RL/16895802?s=N4IgTCBcDaIIIBEAaAZAzARgCwHUBCAwgAoBaAtAEoogC6AvkA,https://www.analog.com/media/en/technical-documentation/data-sheets/adxl314.pdf
U4,1,SSM6N7002KFU_LF,SOT-363   US6_TOS,https://www.digikey.in/en/products/detail/toshiba-semiconductor-and-storage/SSM6N7002KFU-LF/5810234?s=N4IgTCBcDaIMpwLIDYByB2ADJsBpAYgKoD6AMviALoC%2BQA,https://toshiba.semicon-storage.com/info/docget.jsp?did=30374&prodName=SSM6N7002KFU
